Course Name,Difficulty Level,Course Rating,Course URL,category,skills_clean
Wireshark for Basic Network Security Analysis,Beginner,4.4,https://www.coursera.org/learn/wireshark-for-network-security,Cybersecurity,https telnet key (cryptography) plaintext authentication cryptography encryption domain name system password wireshark information-technology security
Analyze Website Visitors with Google Analytics Segments,Beginner,4.8,https://www.coursera.org/learn/analyze-visitors-google-analytics-segments,Data Science & ML,analysis pytorch segmentation analysis google analytics market segmentation benefits project mine analytics film project data-science data-analysis
"Textual Elements of Design: Fonts, Typography, and Spacing",Beginner,4.8,https://www.coursera.org/learn/fonts-typography-spacing,Web Development,web design html typography adobe illustrator adobe photoshop brochure design video production graphic design video editing computer graphics arts-and-humanities history
"Internet History, Technology, and Security",Beginner,4.8,https://www.coursera.org/learn/internet-history,Cybersecurity,web internet protocol internet security history internet architecture cryptography internet architecture security network architecture computer-science computer-security-and-networks
"Penetration Testing, Incident Response and Forensics",Beginner,4.6,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,Data Science & ML,incident management penetration test scripting language python programming computer security incident management leadership and management security computer programming digital forensics forensics information-technology security
Web Application Development with JavaScript and MongoDB,Advanced,4.5,https://www.coursera.org/learn/web-application-development,Web Development,meteor html mongodb databases web development web file system permissions web application user (computing) javascript computer-science software-development
Building Containerized Applications on AWS,Beginner,4.0,https://www.coursera.org/learn/containerized-apps-on-aws,Cloud & DevOps,kubernetes microservices docker (software) subnetwork command-line interface node.js macro (computer science) service discovery virtual machine operating systems information-technology cloud-computing
Introduction to Git and GitHub,Advanced,4.8,https://www.coursera.org/learn/introduction-git-github,Cloud & DevOps,version control version control systems python programming computer programming software github code review collaboration git (software) software versioning information-technology cloud-computing
Using Python to Interact with the Operating System,Advanced,4.6,https://www.coursera.org/learn/python-operating-system,Cloud & DevOps,unix file system unit testing regular expression unix shells computer programming bash (unix shell) command-line interface test automation python programming information-technology support-and-operations
Portfolio Optimization using Markowitz Model,Beginner,4.5,https://www.coursera.org/learn/portfolio-optimization-markowitz-model,Data Science & ML,machine learning microsoft excel securities research financial engineering portfolio optimization trading finance asset mathematical optimization financial modeling business finance
Securing and Integrating Components of your Application,Beginner,4.6,https://www.coursera.org/learn/securing-integrating-components-app,Cloud & DevOps,authentication google cloud platform publish subscribe pattern application programming interfaces identity management cloud api cloud platforms federated identity euler's totient function cloud computing computer-science software-development
Forensic Accounting and Fraud Examination,Beginner,4.7,https://www.coursera.org/learn/forensic-accounting,Cybersecurity,audit accounting internal control internality forensics fraud deterrence analysis forensic accounting fraud detection fraud investigation business finance
Data Analytics Foundations for Accountancy I,Advanced,3.6,https://www.coursera.org/learn/data-analytics-accountancy-1,Data Science & ML,accounting data structures histogram array data type numpy matplotlib studentized residual probability mass function random variable data-science data-analysis
Complex Retrieval Queries in MySQL Workbench,Beginner,4.5,https://www.coursera.org/learn/complex-retrieval-queries-in-mysql-workbench,Cloud & DevOps,relational database internet rounding mysql analysis associative entity data analysis database model nest interpretation information-technology data-management
Business Implications of AI: A Nano-course,Intermediate,4.6,https://www.coursera.org/learn/business-implications-ai-nano-course,Data Science & ML,strategy reason average strategic management leadership project saving machine learning sales thought business leadership-and-management
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Beginner,5.0,https://www.coursera.org/learn/python-aws-elastic-beanstalk-web-application,Data Science & ML,python programming server log c dynamic memory allocation aws elastic beanstalk web type i and type ii errors file shortcut .properties project web application information-technology cloud-computing
Data Science in Stratified Healthcare and Precision Medicine,Intermediate,4.6,https://www.coursera.org/learn/datascimed,Data Science & ML,medicine language python programming computer programming machine learning human learning natural language processing analysis natural language precision medicine data-science data-analysis
App Design and Development for iOS,Advanced,4.0,https://www.coursera.org/learn/ios-app-design-development,Mobile Development,interactivity ios development persistent data structure algorithms human computer interaction swift programming navigation controls game design application design mobile development computer-science mobile-and-web-development
Data-driven Astronomy,Advanced,4.8,https://www.coursera.org/learn/data-driven-astronomy,Data Science & ML,computer programming python programming sql astronomy algorithms data analysis machine learning computational astronomy human learning analysis physical-science-and-engineering physics-and-astronomy
Achieving Advanced Insights with BigQuery,Advanced,4.7,https://www.coursera.org/learn/gcp-Advanced-insights-bigquery,Cloud & DevOps,google cloud platform sql aggregate function mathematical optimization scalability cloud computing bigquery query optimization databases cloud platforms information-technology data-management
Build a Twitter Clone Backend,Beginner,4.2,https://www.coursera.org/learn/twitter-clone-backend,Cloud & DevOps,mongodb modeling php euler's totient function project front and back ends web cloning application programming interfaces computer-science mobile-and-web-development
Statistical Data Visualization with Seaborn,Beginner,4.5,https://www.coursera.org/learn/statistical-data-visualization-seaborn,Data Science & ML,feature selection data analysis analysis data visualization kaggle visualization library general statistics project project mine exploratory data analysis data-science machine-learning
Data Analysis Using Pyspark,Beginner,4.2,https://www.coursera.org/learn/data-analysis-using-pyspark,Data Science & ML,data analysis analysis machine learning big data python programming utility matplotlib ordered pair project mine project data-science data-analysis
Reproducible Research,Beginner,4.5,https://www.coursera.org/learn/reproducible-research,Data Science & ML,rstudio general statistics r programming language data analysis writing computer programming markup language knitr analysis data-science data-analysis
Cyber Attack Countermeasures,Advanced,4.8,https://www.coursera.org/learn/cyber-attack-countermeasures,Cybersecurity,encryption biba model public-key cryptography cryptography cryptanalysis secure sockets layer (ssl) security rsa securid s/key block cipher mode of operation computer-science computer-security-and-networks
Hierarchical Clustering: Customer Segmentation,Advanced,4.2,https://www.coursera.org/learn/hierarchical-clustering-customer-segmentation,Data Science & ML,unsupervised learning data clustering algorithms numpy matplotlib machine learning algorithms hierarchical clustering data structures python programming market segmentation data-science machine-learning
"Applied Plotting, Charting & Data Representation in Python",Advanced,4.3,https://www.coursera.org/learn/python-plotting,Data Science & ML,data analysis chart matplotlib analysis scatter plot computer programming data visualization python programming computer graphics plot (graphics) data-science data-analysis
Deploy Models with TensorFlow Serving and Flask,Beginner,4.5,https://www.coursera.org/learn/deploy-models-tensorflow-serving-flask,Data Science & ML,tensorflow web application euler's totient function machine learning internet flask web inference web development interfaces data-science machine-learning
Create UI in Unity Part 3 - Settings Menu,Beginner,4.464150943396226,https://www.coursera.org/learn/create-ui-unity-settings-menu,Data Science & ML,project video game development user interface teaching method machine learning euler's totient function java annotation .properties problem-based learning multiliteracy computer-science software-development
Introduction to Accounting Data Analytics and Visualization,Advanced,4.8,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,Data Science & ML,data clustering algorithms analytics tableau software microsoft excel data visualization microsoft excel vba pivot table analysis data analysis software data-science data-analysis
Java for Android,Intermediate,4.4,https://www.coursera.org/learn/java-for-android,Mobile Development,java syntax java (software platform) generics in java software android development computer programming syntax java collections framework java programming android studio computer-science mobile-and-web-development
Survival Analysis in R for Public Health,Advanced,4.2,https://www.coursera.org/learn/survival-analysis-r-public-health,Data Science & ML,missing data survival analysis analysis r programming proportional hazards model regression analysis general statistics modeling public health log-rank test life-sciences public-health
Learn to Program: Crafting Quality Code,Advanced,4.6,https://www.coursera.org/learn/program-code,Data Science & ML,software class (computer programming) computer program algorithms computer programming doctest python programming semantics python syntax and semantics unit testing computer-science software-development
Microservices with Spring Boot,Advanced,4.473417721518987,https://www.coursera.org/learn/microservices-with-spring-boot,Cloud & DevOps,project operations management embedded databases microservices combination full-stack web development databases rapid application development boilerplate code application development information-technology cloud-computing
Statistical Mechanics: Algorithms and Computations,Advanced,4.8,https://www.coursera.org/learn/statistical-mechanics,Data Science & ML,computational physics tailored access operations relative change and difference physics algorithms general statistics python programming permutations statistical mechanics simulation physical-science-and-engineering physics-and-astronomy
Introduction to Data Analysis Using Excel,Beginner,4.7,https://www.coursera.org/learn/excel-data-analysis,Data Science & ML,histogram data visualization microsoft excel pivot chart lookup table data manipulation data analysis pivot table chart analysis data-science data-analysis
Developing AI Applications on Azure,Beginner,4.3,https://www.coursera.org/learn/developing-ai-applications-azure,Data Science & ML,machine learning web service workspace training computer programming microsoft azure python programming computer vision human learning application programming interfaces data-science machine-learning
iOS Project: Transreality Game,Advanced,4.9,https://www.coursera.org/learn/transreality-gaming,Mobile Development,sap netweaver ios development swift programming edge loop apple keynote kludge game physics prezi software unreal engine computer-science mobile-and-web-development
Introduction to Python,Beginner,4.5,https://www.coursera.org/learn/introduction-to-python,Data Science & ML,computer programming computer program python programming game programming c programming c++ path (variable) web design web syntax computer-science software-development
Encryption And Decryption Using C++,Beginner,5.0,https://www.coursera.org/learn/encryption-and-decrytion-using-cpp,Cybersecurity,project cryptography project mine algorithms linux security modules form-based authentication cipher perl software encryption i-deas computer-science software-development
Python Data Structures,Intermediate,4.8,https://www.coursera.org/learn/python-data,Data Science & ML,dict python programming python syntax and semantics problem solving data structures language computer programming semantics data type syntax computer-science software-development
"Blockchain, Cryptoassets, and Decentralized Finance",Beginner,4.7,https://www.coursera.org/learn/blockchain-crypto-decentralized-finance,Cybersecurity,blockchain finance autonomous agent cryptocurrency identity management systems security token smart contract cryptography security biometrics computer-science computer-security-and-networks
Data Processing Using Python,Advanced,4.1,https://www.coursera.org/learn/python-data-processing,Data Science & ML,computer programming machine learning scipy java annotation object-oriented programming sed python programming pycharm data structures natural language processing computer-science software-development
Applied Text Mining in Python,Advanced,4.0,https://www.coursera.org/learn/python-text-mining,Data Science & ML,language natural language python programming natural language toolkit regular expression computer programming natural language processing modeling topic model text mining data-science data-analysis
Astro 101: Black Holes,Beginner,4.8,https://www.coursera.org/learn/black-holes-astro-101,Web Development,path (variable) angular energy hole materials physics quantum mechanics theory of relativity tailored access operations astronomy physical-science-and-engineering physics-and-astronomy
Create Charts and Dashboard using Google Sheets,Beginner,4.8,https://www.coursera.org/learn/charts-dashboard-google-sheets,Data Science & ML,digital marketing pivot table business analytics euler's totient function data visualization chart project presentation microsoft excel feed uri scheme business business-essentials
Use Commands and Create a Remote Git Repository,Beginner,4.6,https://www.coursera.org/learn/commands-create-git-remote-repository,Web Development,html php python programming credential c dynamic memory allocation github mergers & acquisitions ordered pair software engineering version control computer-science software-development
Command Line in Linux,Beginner,4.5,https://www.coursera.org/learn/command-line-linux,Cloud & DevOps,unix operating systems computer networking embedded linux windowing systems command-line interface interfaces java annotation command.com linux console information-technology support-and-operations
Building Web Applications in Django,Intermediate,4.6,https://www.coursera.org/learn/django-build-web-apps,Web Development,python programming web ruby (programming language) flask cross-site request forgery web development html javascript php django (web framework) computer-science mobile-and-web-development
Building Custom Regional Reports with Google Analytics,Beginner,4.6,https://www.coursera.org/learn/building-custom-regional-reports-with-google-analytics,Data Science & ML,leadership and management data analysis marketing artificial neural networks leadership schedule writing google analytics market analysis analytics business marketing
Developing a Google SRE Culture,Advanced,4.8,https://www.coursera.org/learn/developing-a-google-sre-culture,Cloud & DevOps,site reliability engineering data-informed decision-making receiving change management culture continuous integration kubernetes continuous delivery design thinking devops business leadership-and-management
Building a Data Science Team,Intermediate,4.5,https://www.coursera.org/learn/build-data-science-team,Data Science & ML,data analysis team management team building machine learning data science business intelligence communication leadership leadership and management data management data-science data-analysis
Design and Analyze Secure Networked Systems,Advanced,3.4,https://www.coursera.org/learn/design-secure-networked-systems,Cybersecurity,cyber resilience digital signature risk management framework security network security public-key cryptography web web server principle of least privilege data breaches computer-science computer-security-and-networks
Game Theory with Python,Beginner,4.2,https://www.coursera.org/learn/game-theory-with-python,Data Science & ML,math and logic mathematical model physics python programming game design models of computation game theory logic strategy computer programming math-and-logic math-and-logic
Data Science at Scale - Capstone Project,Advanced,3.8,https://www.coursera.org/learn/datasci-capstone,Data Science & ML,entropy (information theory) information engineering r programming communication general statistics problem solving feature engineering data analysis python programming analysis data-science data-analysis
Introduction to Big Data,Intermediate,4.6,https://www.coursera.org/learn/big-data-introduction,Data Science & ML,analysis mapreduce big data products apache hadoop big data analytics apache cloudera data analysis big data analytics data-science data-analysis
Getting Started With Application Development,Beginner,4.5,https://www.coursera.org/learn/getting-started-app-development,Cloud & DevOps,google cloud platform cloud platforms cloud storage bigquery google app engine google storage web application web cloud computing application development computer-science software-development
Linux Tools for Developers,Advanced,4.5,https://www.coursera.org/learn/linux-tools-for-developers,Cloud & DevOps,unix unix shells linux file systems logical volume management file system booting awk bash (unix shell) leadership and management command-line interface computer-science software-development
Hadoop Platform and Application Framework,Intermediate,3.8,https://www.coursera.org/learn/hadoop,Data Science & ML,python programming apache hadoop hive apache spark cloudera apache apache pig mapreduce big data computer programming data-science data-analysis
Business Application of Machine Learning and Artificial Intelligence in Healthcare,Intermediate,3.8,https://www.coursera.org/learn/artificialintelligence-in-healthcare,Data Science & ML,artificial intelligence in healthcare predictive modelling enabling use case predictive analytics relative change and difference decision support system analytics machine learning evaluation business business-strategy
The Product Lifecycle: A Guide from start to finish,Beginner,4.6,https://www.coursera.org/learn/the-product-life-cycle,Data Science & ML,product sales data analysis analysis microsoft excel product lifecycle product development project product management tracking strategy business marketing
TensorFlow for CNNs: Transfer Learning,Beginner,4.464150943396226,https://www.coursera.org/learn/tensorflow-for-cnns-transfer-learning,Data Science & ML,project mine series a round artificial neural networks tensorflow materials statistical classification training modeling project convolutional neural network data-science machine-learning
Introduction to Probability and Data with R,Advanced,4.6,https://www.coursera.org/learn/probability-intro,Data Science & ML,probability & statistics data analysis general statistics rstudio analysis r programming computer programming exploratory data analysis probability summary statistics data-science data-analysis
Creating Models using Smartpls,Beginner,4.9,https://www.coursera.org/learn/smartpls-Advanced-regression,Data Science & ML,modeling project mine show me! running data analysis utility path (variable) software download upload data-science data-analysis
Algorithms for DNA Sequencing,Advanced,4.7,https://www.coursera.org/learn/dna-sequencing,Data Science & ML,computer programming edit distance python programming algorithms dna dnas bioinformatics genomics dna sequencing smith waterman algorithm data-science data-analysis
Introduction to Machine Learning,Beginner,4.6,https://www.coursera.org/learn/machine-learning-duke,Data Science & ML,machine learning regression convolutional neural network artificial neural networks multilayer perceptron natural language processing logistic regression supply chain human learning perceptron data-science machine-learning
Getting Started With Game Development Using PyGame,Beginner,4.2,https://www.coursera.org/learn/getting-started-with-game-development-using-pygame,Data Science & ML,video game development display devices gameplay software engineering ordered pair python programming pygame computer programming project computer-science software-development
Introduction to Javascript: The Basics,Beginner,4.2,https://www.coursera.org/learn/intro-to-javascript-the-basics,Web Development,mobile app javascript web application document object model html web development scripting language internet of things web front and back ends computer-science mobile-and-web-development
Production Machine Learning Systems,Beginner,4.6,https://www.coursera.org/learn/gcp-production-ml-systems,Data Science & ML,machine learning systems architect performance deep learning cloud computing google cloud platform human learning systems architecture tensorflow data dependency data-science machine-learning
Computational Vision,Intermediate,4.1,https://www.coursera.org/learn/mind-machine-computational-vision,Data Science & ML,edge detection convolution computer vision deep learning neuroscience mental images machine vision artificial neural networks matrix representation neuron (software) computer-science algorithms
Troubleshooting and Debugging Techniques,Intermediate,4.5,https://www.coursera.org/learn/troubleshooting-debugging-techniques,Data Science & ML,computer programming python programming troubleshooting resource profilers software debugging problem solving leadership and management debug code information-technology cloud-computing
Classify Radio Signals from Space using Keras,Beginner,4.4,https://www.coursera.org/learn/classify-radio-signals-space-keras-cnn,Data Science & ML,keras deep learning machine learning convolutional neural network front and back ends signal processing tensorflow python programming artificial neural networks statistical classification data-science machine-learning
Data Visualization and Communication with Tableau,Beginner,4.6,https://www.coursera.org/learn/analytics-tableau,Data Science & ML,data analysis analytics communication computer graphics software data visualization business analytics presentation analysis tableau software data-science data-analysis
Relational database systems,Advanced,3.9,https://www.coursera.org/learn/relational-database,Data Science & ML,relational model sql relational database stored procedure databases query optimization data model relational database management system business requirements entity relationship model data-science data-analysis
Getting Started with Power BI Desktop,Intermediate,4.7,https://www.coursera.org/learn/power-bi-desktop,Data Science & ML,data analysis microsoft excel analysis data reporting project management business intelligence project data visualization sap erp software business business-essentials
"Sequences, Time Series and Prediction",Beginner,4.4,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,Data Science & ML,series a round time series analysis modeling time series analysis long short-term memory tensorflow time series models forecasting artificial neural networks data-science machine-learning
Digital Thread: Implementation,Beginner,4.7,https://www.coursera.org/learn/digital-thread-implementation,Data Science & ML,internet of things mechatronics average manufacturing process management dial indicators sql mechanical engineering measurement smart label manufacturing execution system physical-science-and-engineering mechanical-engineering
IBM Data Topology,Advanced,4.9,https://www.coursera.org/learn/ibm-data-topology,Data Science & ML,logical topology data furnace master data management machine learning topological data analysis data centers enterprise architecture topology topology optimization data architecture information-technology data-management
Build a Deep Learning Based Image Classifier with R,Beginner,4.6,https://www.coursera.org/learn/deep-learning-image-classifier-r,Data Science & ML,deep learning r programming statistical classification front and back ends grayscale machine learning interfaces tensorflow artificial neural networks ordered pair data-science machine-learning
Machine Learning: Clustering & Retrieval,Beginner,4.6,https://www.coursera.org/learn/ml-clustering-and-retrieval,Data Science & ML,human learning modeling algorithms cluster analysis mixture model machine learning latent dirichlet allocation data clustering algorithms k-means clustering k-d tree data-science data-analysis
Preparing for the Google Cloud Professional Cloud Architect Exam,Intermediate,4.6,https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,Cloud & DevOps,mathematical optimization case study penetration test analysis cloud computing devops cloud platforms architecture google cloud platform business requirements information-technology cloud-computing
Convolutional Neural Networks in TensorFlow,Beginner,4.6,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,Data Science & ML,statistical classification artificial neural networks human learning image processing keras convolutional neural network computer vision tensorflow convolution multiclass classification data-science machine-learning
Healthcare Data Models,Advanced,4.2,https://www.coursera.org/learn/healthcare-data-models,Data Science & ML,relational model approximation error health informatics health data data quality data analysis health care analytics modeling data model type i and type ii errors life-sciences health-informatics
"Capstone MOOC for ""Android App Development""",Advanced,2.9,https://www.coursera.org/learn/aadcapstone,Mobile Development,stack (abstract data type) mobile development software engineering android development android studio computer programming mechanical engineering java programming operating systems electronics computer-science mobile-and-web-development
Getting Started with AWS Machine Learning,Beginner,4.4,https://www.coursera.org/learn/aws-machine-learning,Data Science & ML,natural language processing machine learning human learning computer vision amazon web services machine learning algorithms web algorithms deep learning web service data-science machine-learning
Hyperparameter Tuning with Neural Network Intelligence,Beginner,4.8,https://www.coursera.org/learn/hyperparameter-tuning,Data Science & ML,artificial neural networks activation function machine learning experiment euler's totient function tensorflow open source hyperparameter mathematical optimization python programming data-science machine-learning
State Estimation and Localization for Self-Driving Cars,Beginner,4.6,https://www.coursera.org/learn/state-estimation-localization-self-driving-cars,Data Science & ML,estimation algorithms kalman filter extended kalman filter computer programming least squares jacobian matrix and determinant python programming maximum likelihood estimation point cloud computer-science software-development
Optimizing Your Google Cloud Platform (GCP) Costs,Advanced,4.5,https://www.coursera.org/learn/gcp-cost-optimization,Cloud & DevOps,running google cloud platform resource budget discounting ip address cost orphan cost control mathematical optimization information-technology cloud-computing
"Python Project: pillow, tesseract, and opencv",Intermediate,3.4,https://www.coursera.org/learn/python-project,Data Science & ML,computer vision opencv optical character recognition image file formats software image processing python libraries tesseract (software) computer programming python programming computer-science software-development
Cloud Computing Basics (Cloud 101),Intermediate,4.5,https://www.coursera.org/learn/cloud-computing-basics,Cloud & DevOps,web google cloud platform cloud platforms cloud applications web service internet of things software as a service microsoft azure cloud computing cloud storage information-technology cloud-computing
Images and Links in HTML,Beginner,4.7,https://www.coursera.org/learn/images-and-links-in-html,Web Development,web page computer graphics html web development text editors surround sound display devices project mine web computer-science mobile-and-web-development
Analyze Text Data with Yellowbrick,Beginner,4.5,https://www.coursera.org/learn/analyze-text-data-yellowbrick,Data Science & ML,text corpus data analysis machine learning text mining documents topic model data mining data clustering algorithms python programming project data-science machine-learning
Draw Insights with Crosstabs Reports in Google Sheets,Beginner,4.3,https://www.coursera.org/learn/draw-insights-with-crosstabs-reports-google-sheets,Data Science & ML,matrices pivot table analysis machine learning software communication benefits spreadsheet organizing (management) spreadsheet software data-science data-analysis
Class Creation in Object Oriented Python,Beginner,4.5,https://www.coursera.org/learn/class-creation-in-object-oriented-python,Data Science & ML,crt0 c++ ordered pair python programming sorting computer programming class (computer programming) euler's totient function object-oriented programming computer-science software-development
Introduction to TensorFlow,Advanced,4.3,https://www.coursera.org/learn/intro-tensorflow,Data Science & ML,cloud platforms estimator application programming interfaces cloud computing modeling google cloud platform tensorflow training machine learning human learning data-science machine-learning
Palo Alto Networks Academy Cybersecurity Foundation,Intermediate,4.7,https://www.coursera.org/learn/cybersecurity-foundation,Cybersecurity,cloud computing malware data centers cyberattacks security modes antivirus software network security firewall (computing) enterprise private network security information-technology security
Practical Machine Learning,Beginner,4.4,https://www.coursera.org/learn/practical-machine-learning,Data Science & ML,machine learning algorithms human learning random forest modeling randomness decision tree forest machine learning predictive modelling algorithms data-science machine-learning
Front-End JavaScript Frameworks: Angular,Advanced,4.6,https://www.coursera.org/learn/angular,Web Development,front-end web development materials web development reactive programming angular computer programming typescript web angularjs javascript computer-science mobile-and-web-development
TensorFlow for AI: Get to Know Tensorflow,Advanced,4.7,https://www.coursera.org/learn/tensorflow-for-ai-get-to-know-tensorflow,Data Science & ML,python programming entry point exercise project mine machine learning test set project tensorflow euler's totient function loss function data-science machine-learning
On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform,Intermediate,4.7,https://www.coursera.org/learn/onprem-fundamentals-apigee-gcp,Cloud & DevOps,cloud computing security solution stack planning cloud platforms openjdk google cloud platform application programming interfaces scaling node.js protein data bank (file format) computer-science software-development
"Business Intelligence Concepts, Tools, and Applications",Advanced,4.3,https://www.coursera.org/learn/business-intelligence-tools,Data Science & ML,data visualization balanced scorecard performance measurement critical success factor openfabrics alliance business intelligence sql data warehousing microstrategy performance management data-science data-analysis
Image Compression and Generation using Variational Autoencoders in Python,Beginner,4.7,https://www.coursera.org/learn/image-compression-generation-vae,Data Science & ML,autoencoder test set studentized residual project python programming computer programming mimics image processing use case machine learning data-science machine-learning
Optimize TensorFlow Models For Deployment with TensorRT,Advanced,4.7,https://www.coursera.org/learn/tensorflow-tensorrt,Data Science & ML,project mine machine learning mathematical optimization inference throughput modeling python programming deep learning tensorflow performance data-science machine-learning
